skill_name,route_full,skill_md_exists,frontmatter_yaml_present,approx_size_kb,last_modification,layer,category,description
dogfood,/home/laia/.hermes/skills/dogfood/SKILL.md,yes,yes,11.4,2026-06-09T11:30:39+02:00,frontend,,"Reusable QA utility for Handler Web — exploratory testing, evidence capture, and structured reporting on top of Play/Web/Graf routing"
email-style-grid-code,/home/laia/.hermes/skills/email-style-grid-code/SKILL.md,yes,yes,5.2,2026-06-10T18:05:37+02:00,service,,|
frontend-design,/home/laia/.hermes/skills/frontend-design/SKILL.md,yes,yes,7.1,2026-04-30T20:13:26+02:00,frontend,,"Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, applications, or document PDFs. Generates creative, polished code that avoids generic AI aesthetics."
hermes-agent,/home/laia/.hermes/skills/hermes-agent/SKILL.md,yes,yes,24.4,2026-03-31T23:53:28+02:00,frontend,,"Complete guide to using and extending Hermes Agent — CLI usage, setup, configuration, spawning additional agents, gateway platforms, skills, voice, tools, profiles, and a concise contributor reference. Load this skill when helping users configure Hermes, troubleshoot issues, spawn agent instances, or make code contributions."
pdf-builder,/home/laia/.hermes/skills/pdf-builder/SKILL.md,yes,yes,117.9,2026-06-10T00:26:35+02:00,frontend,,|
ticket-handler,/home/laia/.hermes/skills/ticket-handler/SKILL.md,yes,yes,107.6,2026-06-08T11:44:04+02:00,frontend,,|
apple-notes,/home/laia/.hermes/skills/apple/apple-notes/SKILL.md,yes,yes,2.1,2026-03-31T23:53:28+02:00,backend,apple,"Manage Apple Notes via the memo CLI on macOS (create, view, search, edit)."
apple-reminders,/home/laia/.hermes/skills/apple/apple-reminders/SKILL.md,yes,yes,2.5,2026-03-31T23:53:28+02:00,backend,apple,"Manage Apple Reminders via remindctl CLI (list, add, complete, delete)."
findmy,/home/laia/.hermes/skills/apple/findmy/SKILL.md,yes,yes,3.7,2026-03-31T23:53:28+02:00,backend,apple,Track Apple devices and AirTags via FindMy.app on macOS using AppleScript and screen capture.
imessage,/home/laia/.hermes/skills/apple/imessage/SKILL.md,yes,yes,2.4,2026-03-31T23:53:28+02:00,backend,apple,Send and receive iMessages/SMS via the imsg CLI on macOS.
claude-code,/home/laia/.hermes/skills/autonomous-ai-agents/claude-code/SKILL.md,yes,yes,3.1,2026-03-31T23:53:28+02:00,frontend,autonomous-ai-agents,"Delegate coding tasks to Claude Code (Anthropic's CLI agent). Use for building features, refactoring, PR reviews, and iterative coding. Requires the claude CLI installed."
codex,/home/laia/.hermes/skills/autonomous-ai-agents/codex/SKILL.md,yes,yes,4.0,2026-03-31T23:53:28+02:00,frontend,autonomous-ai-agents,"Delegate coding tasks to OpenAI Codex CLI agent. Use for building features, refactoring, PR reviews, and batch issue fixing. Requires the codex CLI and a git repository."
opencode,/home/laia/.hermes/skills/autonomous-ai-agents/opencode/SKILL.md,yes,yes,7.2,2026-03-31T23:53:28+02:00,frontend,autonomous-ai-agents,"Delegate coding tasks to OpenCode CLI agent for feature implementation, refactoring, PR review, and long-running autonomous sessions. Requires the opencode CLI installed and authenticated."
